,Channel Pair,Coherence
0,Fp1-Fp2,0.6939000242906179
1,Fp1-C3,0.2295861447527538
2,Fp1-C4,0.7805213806001335
3,Fp1-T5,0.38011837950093785
4,Fp1-T6,0.4824079710814676
5,Fp1-O1,0.7924678927160421
6,Fp1-O2,0.8385023024841045
7,Fp1-F7,0.30502937950282377
8,Fp1-F8,0.26226816511911305
9,Fp1-F3,0.4466018956277438
10,Fp1-F4,0.2238817909401022
11,Fp1-T3,0.1651181990115878
12,Fp1-T4,0.20354087008285895
13,Fp1-P3,0.3406574213352964
14,Fp1-P4,0.4911691559733874
15,Fp2-C3,0.22493001549909378
16,Fp2-C4,0.753734093715046
17,Fp2-T5,0.296937893418315
18,Fp2-T6,0.5456546218093803
19,Fp2-O1,0.6295789740271814
20,Fp2-O2,0.5722280008687827
21,Fp2-F7,0.33235008819584566
22,Fp2-F8,0.2952007188328577
23,Fp2-F3,0.34864432055691325
24,Fp2-F4,0.22415873173290476
25,Fp2-T3,0.13012128329218256
26,Fp2-T4,0.16497489271439475
27,Fp2-P3,0.3098917210308381
28,Fp2-P4,0.3425575473591297
29,C3-C4,0.270518024359274
30,C3-T5,0.1608168211179216
31,C3-T6,0.28055373758471586
32,C3-O1,0.24028485199874897
33,C3-O2,0.19750739714001675
34,C3-F7,0.05340624989617748
35,C3-F8,0.19297352296868783
36,C3-F3,0.20366589378861547
37,C3-F4,0.13741706280428567
38,C3-T3,0.14149136849658792
39,C3-T4,0.16330483739782178
40,C3-P3,0.12322186026148457
41,C3-P4,0.17955329808197104
42,C4-T5,0.34444634885578646
43,C4-T6,0.518343639856139
44,C4-O1,0.7197990084622561
45,C4-O2,0.6155504965823068
46,C4-F7,0.27959469585352775
47,C4-F8,0.29207925326755474
48,C4-F3,0.3923215162703114
49,C4-F4,0.2104055691604045
50,C4-T3,0.1528999225775895
51,C4-T4,0.1863912717314028
52,C4-P3,0.315608845324926
53,C4-P4,0.37870228092275127
54,T5-T6,0.2790968577484752
55,T5-O1,0.3889724220756974
56,T5-O2,0.4276401400144105
57,T5-F7,0.10091019719383547
58,T5-F8,0.1812151543257798
59,T5-F3,0.284582867984994
60,T5-F4,0.15558548093193225
61,T5-T3,0.17439060963057834
62,T5-T4,0.18290019632663967
63,T5-P3,0.18004390148845956
64,T5-P4,0.2695319790415295
65,T6-O1,0.5599240628327528
66,T6-O2,0.46408858926933055
67,T6-F7,0.23179650934089463
68,T6-F8,0.42397746752460075
69,T6-F3,0.39015636000016773
70,T6-F4,0.27754043023255875
71,T6-T3,0.17700174236565516
72,T6-T4,0.2147653694069794
73,T6-P3,0.3540160977562482
74,T6-P4,0.3437946798923717
75,O1-O2,0.6764713375448537
76,O1-F7,0.23412945671451438
77,O1-F8,0.29302065383198994
78,O1-F3,0.38126582036433276
79,O1-F4,0.21685786612987634
80,O1-T3,0.16120174987094577
81,O1-T4,0.20147488392094212
82,O1-P3,0.35140048343865743
83,O1-P4,0.4065537216673882
84,O2-F7,0.29876469603091343
85,O2-F8,0.2412923174784102
86,O2-F3,0.46162880638146486
87,O2-F4,0.22404535491490415
88,O2-T3,0.1769476931808679
89,O2-T4,0.20410266795807386
90,O2-P3,0.35049096585351136
91,O2-P4,0.5309695502374316
92,F7-F8,0.14175048441248614
93,F7-F3,0.535285285425574
94,F7-F4,0.2863852970350827
95,F7-T3,0.016976122421970215
96,F7-T4,0.048548595558441245
97,F7-P3,0.5304176504516644
98,F7-P4,0.46602703400885676
99,F8-F3,0.274189901113738
100,F8-F4,0.18965969578909692
101,F8-T3,0.13710264188977847
102,F8-T4,0.19084725949058712
103,F8-P3,0.2030381396698871
104,F8-P4,0.2425661925202385
105,F3-F4,0.3460044258097132
106,F3-T3,0.1721030619896075
107,F3-T4,0.19116218995750428
108,F3-P3,0.559962350990876
109,F3-P4,0.6247411947651403
110,F4-T3,0.1046572737509867
111,F4-T4,0.12399942123155712
112,F4-P3,0.3813566688271211
113,F4-P4,0.29006183567368077
114,T3-T4,0.21196832212706873
115,T3-P3,0.06432788212262272
116,T3-P4,0.17348090560688034
117,T4-P3,0.0890708227410772
118,T4-P4,0.19045990452283604
119,P3-P4,0.5409507403927416
