,Fp1,Fp2,C3,C4,T5,T6,O1,O2,F7,F8,F3,F4,T3,T4,P3,P4
Fp1,1.0,0.5160420473937173,0.12459023379717521,0.7963809783779319,0.4150053490835255,0.3050971345884829,0.7844876481428373,0.8205453681580546,0.5125371330610502,0.0975831615372026,0.5568109065968523,0.1529700924658207,0.005742720569957473,-0.02820730593753823,0.2533521282804266,0.6519829024284568
Fp2,0.5160420473937173,1.0,0.06853547560140727,0.5916803929539163,0.10062206949476021,0.310434092406393,0.4935267107261772,0.3442034585657147,0.338146089706275,0.103685130538475,0.1542366041804546,0.17705744385129987,0.032600423934827406,0.024618186645951147,0.32243654186369924,0.26684705991472935
C3,0.12459023379717521,0.06853547560140727,1.0,0.1130926627267676,0.06067399791231918,0.17143924206899178,0.10650992941668849,0.07008257210186007,0.00596716997809797,0.08604858953166035,-0.03385533675643845,0.01188094327823324,0.02906385063639455,0.053749707673244045,-0.019173757660413692,0.019315663742116285
C4,0.7963809783779319,0.5916803929539163,0.1130926627267676,1.0,0.40848892268197734,0.2997343274921653,0.6284869305752423,0.6965189307194275,0.44635184191299,0.10081064846733628,0.3801489178042709,0.0919148823217844,0.0018565015199822831,-0.02918667966091248,0.1543796981673058,0.5456831671129376
T5,0.4150053490835255,0.10062206949476021,0.06067399791231918,0.40848892268197734,1.0,0.16166159975432898,0.33581267207121984,0.5668539935055412,0.21188226530041399,0.02802437290437387,0.424162370855526,-0.009212056932969252,-0.023612771594365624,-0.006872425156584517,-0.029259864364299223,0.4044214728375611
T6,0.3050971345884829,0.310434092406393,0.17143924206899178,0.2997343274921653,0.16166159975432898,1.0,0.3778818781024375,0.2904866584319228,0.09932166020585613,0.38793244059628285,0.006516454412432213,0.12711519561067333,0.24252957486278243,0.37401386713179263,0.08933516753755098,0.1269542843650331
O1,0.7844876481428373,0.4935267107261772,0.10650992941668849,0.6284869305752423,0.33581267207121984,0.3778818781024375,1.0,0.6054862662633814,0.415667555558636,0.12415701861273168,0.3488803446801352,0.14857419213364917,0.03658985922961457,0.04448794334730214,0.32531249854499306,0.4616415173749357
O2,0.8205453681580546,0.3442034585657147,0.07008257210186007,0.6965189307194275,0.5668539935055412,0.2904866584319228,0.6054862662633814,1.0,0.45932051277774977,0.05036047043674163,0.642665720926004,0.08284543396195305,-0.007383983858766714,-0.035181891187387196,0.12554796199909865,0.7040948578367971
F7,0.5125371330610502,0.338146089706275,0.00596716997809797,0.44635184191299,0.21188226530041399,0.09932166020585613,0.415667555558636,0.45932051277774977,1.0,0.05479327252268757,0.5382602973250323,0.20726056360742556,0.023276620358951568,0.025700316950617193,0.3668052203832599,0.5818197777161336
F8,0.0975831615372026,0.103685130538475,0.08604858953166035,0.10081064846733628,0.02802437290437387,0.38793244059628285,0.12415701861273168,0.05036047043674163,0.05479327252268757,1.0,-0.018917325561386193,0.04022343682361063,0.1895874678462921,0.29750471695166963,0.030686746714678043,0.030676739238942128
F3,0.5568109065968523,0.1542366041804546,-0.03385533675643845,0.3801489178042709,0.424162370855526,0.006516454412432213,0.3488803446801352,0.642665720926004,0.5382602973250323,-0.018917325561386193,1.0,0.12753150116676895,-0.022850253514788463,-0.031906777243370724,0.20357239939505506,0.6516289681113517
F4,0.1529700924658207,0.17705744385129987,0.01188094327823324,0.0919148823217844,-0.009212056932969252,0.12711519561067333,0.14857419213364917,0.08284543396195305,0.20726056360742556,0.04022343682361063,0.12753150116676895,1.0,0.04720316340348747,0.05073234690816443,0.2659913066818744,0.16882594605175155
T3,0.005742720569957473,0.032600423934827406,0.02906385063639455,0.0018565015199822831,-0.023612771594365624,0.24252957486278243,0.03658985922961457,-0.007383983858766714,0.023276620358951568,0.1895874678462921,-0.022850253514788463,0.04720316340348747,1.0,0.2838605009827399,0.06923806634956844,-0.004469701443114714
T4,-0.02820730593753823,0.024618186645951147,0.053749707673244045,-0.02918667966091248,-0.006872425156584517,0.37401386713179263,0.04448794334730214,-0.035181891187387196,0.025700316950617193,0.29750471695166963,-0.031906777243370724,0.05073234690816443,0.2838605009827399,1.0,0.07232433989047728,-0.021476902189014865
P3,0.2533521282804266,0.32243654186369924,-0.019173757660413692,0.1543796981673058,-0.029259864364299223,0.08933516753755098,0.32531249854499306,0.12554796199909865,0.3668052203832599,0.030686746714678043,0.20357239939505506,0.2659913066818744,0.06923806634956844,0.07232433989047728,1.0,0.2769907309365896
P4,0.6519829024284568,0.26684705991472935,0.019315663742116285,0.5456831671129376,0.4044214728375611,0.1269542843650331,0.4616415173749357,0.7040948578367971,0.5818197777161336,0.030676739238942128,0.6516289681113517,0.16882594605175155,-0.004469701443114714,-0.021476902189014865,0.2769907309365896,1.0
